unique_id,claim,gold_label,company,justification
0,EVgo and Amazon partner to enable voice-initiated EV charging and payment via Alexa.,not_greenwashing,EVgo / Amazon,This is a factual statement describing the new service functionality without making unsubstantiated sustainability claims.
1,"Amazon's Alexa now helps EV drivers find, navigate, and pay for charging sessions at EVgo stations.",not_greenwashing,Amazon,"This is a factual description of the new feature's utility for drivers, focusing on convenience rather than an environmental claim."
2,Delta reduced its onboard single-use plastic consumption by approximately 4.9 million pounds in 2022.,not_greenwashing,Delta,"This is a specific, quantifiable achievement directly related to environmental impact, verifiable from the article."
3,"Delta announces a ""zero-waste flight"" as part of its sustainability leadership.",not_greenwashing,Delta,"The ""zero-waste flight"" was a specific, one-off challenge flight, not representative of Delta's standard operations, making it an overgeneralization (Type 3) when presented broadly."
4,Delta is using more fuel-efficient A321neo aircraft that save 20% more fuel than older models.,not_greenwashing,Delta,"This is a specific, verifiable improvement in fleet efficiency, a concrete step towards reducing emissions."
5,"Delta is working to eliminate its climate impact from flying, setting it apart as a sustainability leader.",not_greenwashing,Delta,"""Eliminate its climate impact"" is an extremely strong and currently unachievable claim for an airline, especially when the goal is net-zero by 2050. The claim of being a ""sustainability leader"" is also subjective and unsupported by external benchmarks, fitting Type 4."
6,Delta's Carbon Council saved over 10 million gallons of fuel in 2022 through operational efficiencies and fleet modifications.,not_greenwashing,Delta,"This is a specific, quantifiable achievement resulting from internal initiatives, directly contributing to reduced emissions."
7,"Fly Delta for a ""more sustainable future of flying"" with our innovative partnerships.",not_greenwashing,Delta,"""More sustainable future of flying"" is a vague and aspirational phrase (Type 1) that doesn't specify current, concrete environmental benefits for the consumer, relying on future partnerships."
8,Delta commits to purchasing over 2.5 million gallons of Sustainable Aviation Fuel (SAF) through customer partnerships.,not_greenwashing,Delta,"This is a specific, quantifiable commitment to a cleaner fuel source, demonstrating concrete action towards a sustainability goal."
9,"Delta is committed to achieving net zero emissions by 2050, aligning with global climate goals.",not_greenwashing,Delta,"While a positive goal, setting a net-zero target by 2050 is increasingly a standard expectation for large corporations, often driven by international agreements and national policies, rather than a unique, voluntary achievement (Type 2)."
10,"Delta partnered with MIT to research methods for eliminating persistent contrails, a major aviation environmental impact.",not_greenwashing,Delta,"This is a specific, verifiable research and development initiative aimed at addressing a significant environmental challenge in aviation."
11,"Starbucks, in partnership with Volvo, is installing up to 60 EV fast chargers at 15 locations along a 1,350-mile route, enhancing its commitment to a sustainable future.",not_greenwashing,Starbucks,"This claim describes a specific, verifiable action (installing a defined number of chargers along a route) that contributes to sustainable infrastructure."
12,Charge your car and yourself at Starbucks! Our new EV stations make your stop more sustainable.,not_greenwashing,Starbucks,"This claim overgeneralizes (Type 3) by implying the entire ""stop"" or Starbucks experience is ""more sustainable"" due to one specific service, rather than focusing on the direct benefit of EV charging."
13,"Starbucks is on its journey to become a resource positive company, exemplified by its new EV charging network.",not_greenwashing,Starbucks,"While EV chargers are a positive step, claiming they ""exemplify"" the entire, massive ""resource positive"" aspiration (Type 4) without broader context of other significant actions is an unsupported and potentially misleading overstatement."
14,"Starbucks is committed to reducing its carbon footprint by 50% by 2030, with initiatives like the new EV charging network contributing to this goal.",greenwashing,Starbucks,"This claim states a clear, measurable goal and positions the EV charging network as one of the contributing initiatives, which is a verifiable and positive step."
